@relation learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1

@attribute NoRows numeric
@attribute NoColumn numeric
@attribute TotalCellNo numeric
@attribute CellEmpty numeric
@attribute CellNumeric numeric
@attribute CellSemiNumeric numeric
@attribute CellText numeric
@attribute ContainsAdverse numeric
@attribute containsAge numeric
@attribute containsBaseline numeric
@attribute containsCharacteristicCap numeric
@attribute containsDemographic numeric
@attribute ContainsExclusion numeric
@attribute ContainsInclusion numeric
@attribute containsN numeric
@attribute containsPatientsCap numeric
@attribute containsPatientsCell numeric
@attribute ContainsSideEffect numeric
@attribute ContainsSignOrSymptomAnnotation numeric
@attribute containsEglibility numeric
@attribute containsToxicity numeric
@attribute containsInclusionExclusionCell numeric
@attribute containsHaematologic numeric
@attribute containsTrialCap numeric
@attribute clas {AdverseEvent,InclusionExclusion,Other,BaselineCharacteristic}

@data
31,2,62,32.258065,3.225806,24.193548,40.322581,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
33,2,66,9.090909,3.030303,39.393939,48.484848,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
13,4,52,42.307692,7.692308,15.384615,34.615385,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other
15,10,150,4,54,1.333333,40.666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
11,4,44,0,0,47.727273,52.272727,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
23,20,460,20.869565,58.695652,3.913043,16.521739,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,AdverseEvent
13,4,52,1.923077,0,46.153846,51.923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
24,2,48,25,0,33.333333,41.666667,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
17,3,51,0,0,17.647059,82.352941,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,AdverseEvent
24,4,96,38.541667,18.75,18.75,23.958333,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
18,3,54,22.222222,20.37037,29.62963,27.777778,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
21,2,42,42.857143,0,0,57.142857,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,InclusionExclusion
35,3,105,21.904762,1.904762,40,36.190476,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
9,3,27,3.703704,59.259259,0,37.037037,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
24,5,120,2.5,0,45,52.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
13,2,26,11.538462,0,38.461538,50,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
16,2,32,0,0,0,100,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,InclusionExclusion
33,2,66,34.848485,0,36.363636,28.787879,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
15,4,60,0,0,68.333333,31.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
4,4,16,6.25,18.75,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
14,3,42,4.761905,0,61.904762,33.333333,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,AdverseEvent
7,2,14,0,0,0,100,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,InclusionExclusion
10,1,10,20,0,0,80,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,InclusionExclusion
10,5,50,14,4,44,38,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
29,5,145,9.655172,46.896552,6.206897,37.241379,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
9,3,27,0,59.259259,0,40.740741,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other
12,4,48,6.25,6.25,56.25,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
6,4,24,4.166667,12.5,25,58.333333,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
16,6,96,31.25,26.041667,0,42.708333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,AdverseEvent
9,6,54,0,48.148148,11.111111,40.740741,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,BaselineCharacteristic
11,3,33,3.030303,0,30.30303,66.666667,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,AdverseEvent
7,4,28,0,0,42.857143,57.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
11,3,33,12.121212,48.484848,0,39.393939,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,AdverseEvent
18,3,54,16.666667,33.333333,7.407407,42.592593,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
28,2,56,1.785714,1.785714,39.285714,57.142857,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,BaselineCharacteristic
11,4,44,0,50,11.363636,38.636364,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,AdverseEvent
22,4,88,27.272727,27.272727,20.454545,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
12,2,24,16.666667,0,0,83.333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Other
35,2,70,48.571429,0,0,51.428571,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,InclusionExclusion
8,4,32,0,0,43.75,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
16,6,96,2.083333,77.083333,0,20.833333,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,AdverseEvent
4,5,20,0,80,0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,AdverseEvent
22,7,154,64.935065,23.376623,1.298701,10.38961,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,AdverseEvent
7,5,35,2.857143,31.428571,25.714286,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AdverseEvent
17,2,34,0,47.058824,0,52.941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
19,8,152,0.657895,4.605263,35.526316,59.210526,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
14,2,28,17.857143,0,0,82.142857,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,InclusionExclusion
11,3,33,0,18.181818,36.363636,45.454545,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,AdverseEvent
3,3,9,0,0,55.555556,44.444444,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Other
